nickname,lineage
VVZ,"['20101016_013104_es_2_VVZ', '20101016_115108_r2_15_BNT', '20101018_223016_r2_13_PPL', '20101021_224245_r2_9_QUW', '20101022_221241_r2_11_IOF', '20101026_115942_r2_12_IYH', '20101026_215643_r2_4_ILT']"
WBS,"['20101016_115108_r2_19_WBS', '20101018_223016_r2_9_PPG', '20101106_113811_r2_16_VJH']"
HMZ,"['20101016_013104_es_1_HMZ', '20101016_115108_r2_16_YAC', '20101018_223016_r2_14_ZGS', '20101021_224245_r2_10_WPX', '20101022_221241_r2_10_GHS', '20101026_115942_r2_11_BDW', '20101026_215643_r2_5_ENZ', '20101028_164638_es_9_XJX', '20101030_020041_es_5_ZLO']"
RGW,"['20101013_012655_es_16_RGW', '20101014_161103_es_12_XAZ', '20101016_013104_es_3_GGF', '20101021_224245_r2_8_KKS', '20101022_221241_r2_9_NSI', '20101026_115942_r2_21_OXT', '20101028_164638_es_1_VLW', '20101030_020041_es_7_PBA']"
YBD,"['20101022_221241_r2_17_YBD', '20101026_115942_r2_18_MPG', '20101026_215643_r2_7_QRP']"
LZV,"['20101021_224245_r2_7_LZV', '20101022_221241_r2_8_DXJ', '20101026_115942_r2_20_ICR', '20101106_113811_r2_21_RVH']"
QQZ,"['20101022_221241_r2_13_QQZ', '20101026_115942_r2_14_RNY', '20101026_215643_r2_0_TWR', '20101028_164638_es_7_IDW', '20101030_020041_es_0_IYI', '20101031_125420_r2_1_UCX', '20101031_163748_es_3_RLQ', '20101031_225047_r2_2_PJS', '20101106_113811_r2_0_CNY', '20101107_224624_r2_0_QAM', '20101113_113437_r2_4_MBD', '20101113_213143_r2_5_JZG', '20101114_224224_r2_10_MJK', '20101126_115515_r2_10_EDS', '20101203_115111_r2_15_PHV', '20101205_123328_r2_7_PIO', '20101205_223015_r2_7_MLK', '20101210_214327_r2_24_TQR', '20101212_222551_r2_16_XPM', '20101213_115908_r2_7_DKN', '20101218_225119_r2_7_NAN', '20101219_222131_r2_7_UUB', '20101225_224643_r2_9_WQU', '20101226_121957_r2_10_QRF', '20101226_221737_r2_4_BIT', '20101231_213109_r2_1_HHK', '20110101_124506_r2_3_GLJ', '20110102_121644_r2_7_ZCQ', '20110115_223419_r2_15_HBO', '20110129_222546_r2_17_TZY', '20110130_215641_r2_12_MUZ', '20110201_124137_r2_9_YAN', '20110202_121213_r2_5_XPI', '20110212_221735_r2_5_EXU', '20110213_214818_r2_5_TIS', '20110226_220853_r2_14_MKV', '20110227_214016_r2_5_BIS', '20110312_215959_r2_9_JUM', '20110326_115448_r2_7_BTX', '20110326_223829_r1_8_CPH', '20110402_214814_r2_3_WLP', '20110411_222557_r2_6_SGT', '20110416_214001_r2_6_LHC', '20110417_225009_r2_0_NOX', '20110423_113830_r2_0_YYR', '20110430_113437_r2_4_UYQ', '20110509_121203_r2_2_AOL', '20110516_120745_r2_2_QFK', '20110522_123232_r2_2_WWY', '20110531_221440_r1_2_EGP', '20110613_214830_r2_2_TVC', '20110626_121215_r2_5_IIU', '20110626_220930_r2_5_RGG', '20110704_222159_r1_0_SAC', '20110705_215244_r1_0_UOA', '20110710_120325_r2_1_UTS', '20110710_220108_r2_1_FTU', '']"
TYT,"['20101022_221241_r2_16_TYT', '20101026_115942_r2_17_DCI', '20101026_215643_r2_6_VGL']"
ZTL,"['20101022_221241_r2_15_ZTL', '20101026_115942_r2_16_HNC', '20101026_215643_r2_8_BBF', '20101031_125420_r2_3_NPF', '20101031_225047_r2_3_BOQ', '20101106_113811_r2_1_UOQ', '20101107_224624_r2_1_CKB']"
VIN,"['20101026_115942_r2_15_VIN', '20101026_215643_r2_1_GQS', '20101106_113811_r2_14_DIP', '20101107_224624_r2_6_KBY']"
